Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,SPI,O-SPI,D-SPI,WAR,Value Added
Kennedy Chandler,2022-23,MEM,Secondary Ball Handler,281,PG,20,-1.22,-0.93,-0.3,0.2,2404988
Meyers Leonard,2022-23,MIL,Stretch Big,114,C,31,-1.23,-0.87,-0.36,0.1,1994353
Jalen Duren,2022-23,DET,Roll + Cut Big,1670,C,19,-1.23,-0.91,-0.32,1.3,5750774
Anthony Lamb,2022-23,GSW,Athletic Finisher,1195,SF,25,-1.24,-1.22,-0.03,0.9,4584431
Ousmane Dieng,2022-23,OKC,Stationary Shooter,569,SF,19,-1.25,-1.02,-0.22,0.4,3075303
Devin Vassell,2022-23,SAS,Secondary Ball Handler,1178,SG,22,-1.26,-0.46,-0.79,0.9,4500518
Aaron Wiggins,2022-23,OKC,Stretch Big,1297,SG,24,-1.26,-1.08,-0.18,1.0,4775857
Vit Krejci,2022-23,ATL,Athletic Finisher,165,PG,22,-1.27,-1.0,-0.27,0.1,2106342
Raul Neto,2022-23,CLE,Secondary Ball Handler,505,PG,30,-1.27,-0.95,-0.32,0.4,2900193
Rodney McGruder,2022-23,DET,Movement Shooter,524,SG,31,-1.28,-0.79,-0.49,0.4,2936611
Taj Gibson,2022-23,WAS,Roll + Cut Big,480,C,37,-1.28,-1.79,0.51,0.3,2833572
Wendell Moore Jr.,2022-23,MIN,Movement Shooter,153,SG,21,-1.28,-0.65,-0.63,0.1,2072064
Jaxson Hayes,2022-23,NOP,Roll + Cut Big,610,C,22,-1.29,-1.81,0.51,0.4,3117496
Serge Ibaka,2022-23,MIL,Stretch Big,185,C,33,-1.29,-1.59,0.3,0.1,2143672
Luke Kennard,2022-23,MEM,Off Screen Shooter,1315,SG,26,-1.3,-0.47,-0.83,0.9,4722258
Evan Fournier,2022-23,NYK,Movement Shooter,459,SG,30,-1.31,-0.82,-0.49,0.3,2754815
Isaac Okoro,2022-23,CLE,Stationary Shooter,1652,SF,22,-1.31,-1.97,0.66,1.2,5438801
Peyton Watson,2022-23,DEN,Athletic Finisher,186,SG,20,-1.32,-1.04,-0.27,0.1,2137047
Brandon Boston Jr.,2022-23,LAC,Secondary Ball Handler,248,SG,21,-1.32,-0.49,-0.83,0.2,2274928
RJ Barrett,2022-23,NYK,Secondary Ball Handler,2475,SG,22,-1.32,0.01,-1.33,1.7,7255856
Jae'Sean Tate,2022-23,HOU,Athletic Finisher,678,SF,27,-1.33,-1.41,0.07,0.5,3218378
Gabe Vincent,2022-23,MIA,Stationary Shooter,1759,PG,26,-1.34,-1.09,-0.24,1.2,5588560
Julian Champagnie,2022-23,PHI,Movement Shooter,320,SF,21,-1.35,-0.21,-1.15,0.2,2414082
Danny Green,2022-23,MEM,Off Screen Shooter,139,SG,35,-1.35,-0.74,-0.62,0.1,2019688
Dean Wade,2022-23,CLE,Stationary Shooter,891,PF,26,-1.36,-2.82,1.46,0.6,3644314
T.J. Warren,2022-23,BRK,Athletic Finisher,687,SF,29,-1.37,-0.52,-0.86,0.5,3180376
John Wall,2022-23,LAC,Shot Creator,755,PG,32,-1.38,-0.64,-0.74,0.5,3323269
Matthew Dellavedova,2022-23,SAC,Secondary Ball Handler,213,PG,32,-1.38,-1.31,-0.07,0.1,2171022
Torrey Craig,2022-23,PHO,Athletic Finisher,1948,SF,32,-1.38,-1.78,0.4,1.3,5848993
Kelly Oubre Jr.,2022-23,CHO,Stationary Shooter,1548,SF,27,-1.38,-0.45,-0.93,1.0,4982233
Stanley Johnson,2022-23,SAS,Stationary Shooter,469,SF,26,-1.41,-1.03,-0.38,0.3,2685775
Chris Duarte,2022-23,IND,Secondary Ball Handler,897,SF,25,-1.41,-0.52,-0.89,0.6,3564034
Vince Williams Jr.,2022-23,MEM,Movement Shooter,105,SG,22,-1.42,-0.86,-0.57,0.1,1931339
Shake Milton,2022-23,PHI,Slasher,1567,SG,26,-1.45,-0.1,-1.35,1.0,4814336
Damion Lee,2022-23,PHO,Movement Shooter,1506,SG,30,-1.46,-1.53,0.08,0.9,4675668
Jarred Vanderbilt,2022-23,UTA,Roll + Cut Big,1880,PF,24,-1.47,-1.31,-0.16,1.1,5371403
Pat Connaughton,2022-23,MIL,Stationary Shooter,1443,SG,30,-1.47,-0.74,-0.73,0.9,4510919
Theo Pinson,2022-23,DAL,Stationary Shooter,323,SG,27,-1.48,-0.26,-1.22,0.2,2338059
Jordan Poole,2022-23,GSW,Primary Ball Handler,2458,PG,23,-1.48,-0.38,-1.1,1.5,6420561
Norman Powell,2022-23,LAC,Secondary Ball Handler,1567,SG,29,-1.49,-0.3,-1.19,0.9,4695542
Nathan Knight,2022-23,MIN,Athletic Finisher,291,PF,25,-1.49,-0.98,-0.5,0.2,2270641
Cody Martin,2022-23,CHO,Secondary Ball Handler,134,SF,27,-1.49,-0.97,-0.52,0.1,1971203
Trendon Watford,2022-23,POR,Athletic Finisher,1182,PF,22,-1.5,-0.86,-0.64,0.7,3945196
Matt Ryan,2022-23,MIN,Off Screen Shooter,310,SF,25,-1.52,-0.25,-1.27,0.2,2289518
Gordon Hayward,2022-23,CHO,Secondary Ball Handler,1577,SF,33,-1.52,-1.25,-0.27,0.9,4610564
Johnny Juzang,2022-23,UTA,Movement Shooter,232,SF,22,-1.53,-0.9,-0.63,0.1,2141723
JaMychal Green,2022-23,GSW,Stretch Big,797,PF,32,-1.53,-1.49,-0.03,0.5,3168204
Jeff Dowtin Jr.,2022-23,,Shot Creator,259,PG,25,-1.53,-1.05,-0.49,0.1,2187536
Garrett Temple,2022-23,NOP,Movement Shooter,162,SG,36,-1.55,-1.3,-0.25,0.1,2005830
Josh Green,2022-23,DAL,Stationary Shooter,1539,SG,22,-1.55,-1.07,-0.48,0.9,4441487
Isaiah Roby,2022-23,SAS,Stationary Shooter,474,PF,25,-1.56,-1.75,0.19,0.3,2549278
Davis Bertans,2022-23,DAL,Movement Shooter,492,PF,30,-1.57,-0.28,-1.28,0.3,2573527
Justise Winslow,2022-23,POR,Athletic Finisher,776,SF,27,-1.58,-2.25,0.67,0.4,3055127
KZ Okpala,2022-23,SAC,Stationary Shooter,248,PF,23,-1.58,-2.55,0.97,0.1,2144695
Usman Garuba,2022-23,HOU,Stretch Big,970,PF,21,-1.58,-2.16,0.58,0.5,3372727
Markieff Morris,2022-23,BRK,Stationary Shooter,355,PF,33,-1.62,-1.22,-0.39,0.2,2301231
Gary Harris,2022-23,ORL,Movement Shooter,1184,SG,28,-1.63,-1.26,-0.37,0.6,3635083
Kai Jones,2022-23,CHO,Athletic Finisher,550,C,22,-1.63,-3.14,1.51,0.3,2607804
Malachi Flynn,2022-23,TOR,Secondary Ball Handler,691,PG,24,-1.63,-0.54,-1.1,0.3,2828776
Moses Moody,2022-23,GSW,Stationary Shooter,817,SG,20,-1.64,-1.01,-0.63,0.4,3021339
Justin Jackson,2022-23,BOS,Off Screen Shooter,107,SF,28,-1.64,-1.13,-0.51,0.1,1889146
Yuta Watanabe,2022-23,BRK,Stationary Shooter,928,SF,28,-1.65,-1.0,-0.65,0.5,3178717
Admiral Schofield,2022-23,ORL,Athletic Finisher,451,PF,26,-1.65,-1.44,-0.22,0.2,2426943
Haywood Highsmith,2022-23,MIA,Stretch Big,969,SF,26,-1.69,-2.5,0.81,0.5,3168010
Joe Harris,2022-23,BRK,Movement Shooter,1527,SG,31,-1.7,-0.38,-1.33,0.7,3951040
Josh Richardson,2022-23,NOP,Movement Shooter,1530,SG,29,-1.71,-1.42,-0.3,0.7,3927614
De'Andre Hunter,2022-23,ATL,Stationary Shooter,2126,SF,25,-1.71,-1.24,-0.47,1.0,4786833
Max Strus,2022-23,MIA,Movement Shooter,2272,SF,27,-1.72,-0.98,-0.73,1.0,4985979
Tre Mann,2022-23,OKC,Secondary Ball Handler,1183,PG,22,-1.74,-1.15,-0.59,0.5,3368727
Mamadi Diakite,2022-23,CLE,Stretch Big,176,PF,26,-1.74,-1.7,-0.05,0.1,1962361
Rui Hachimura,2022-23,WAS,Athletic Finisher,1466,PF,25,-1.74,-1.74,0.0,0.6,3743307
John Butler Jr.,2022-23,,Movement Shooter,221,C,20,-1.75,-1.79,0.04,0.1,2023010
Otto Porter Jr.,2022-23,TOR,Stretch Big,146,SF,29,-1.76,-1.22,-0.54,0.1,1915215
Khem Birch,2022-23,TOR,Roll + Cut Big,162,C,30,-1.77,-2.08,0.32,0.1,1935041
Collin Sexton,2022-23,UTA,Slasher,1145,SG,24,-1.77,0.12,-1.89,0.5,3242973
Jonathan Kuminga,2022-23,GSW,Athletic Finisher,1394,PF,20,-1.78,-1.72,-0.05,0.6,3554165
Davion Mitchell,2022-23,SAC,Stationary Shooter,1447,PG,24,-1.78,-1.37,-0.41,0.6,3614060
Dominick Barlow,2022-23,SAS,Roll + Cut Big,408,SF,19,-1.78,-2.13,0.34,0.2,2249322
Wesley Matthews,2022-23,MIL,Movement Shooter,821,SG,36,-1.8,-1.81,0.01,0.3,2756831
Jared Rhoden,2022-23,DET,Athletic Finisher,198,SG,23,-1.82,-1.49,-0.33,0.1,1962585
Dyson Daniels,2022-23,NOP,Stationary Shooter,1042,PG,20,-1.82,-2.76,0.94,0.4,2998250
Troy Brown Jr.,2022-23,LAL,Stationary Shooter,1860,SF,23,-1.86,-1.28,-0.59,0.7,3848704
Reggie Jackson,2022-23,DEN,Secondary Ball Handler,1657,PG,32,-1.87,-1.41,-0.46,0.6,3578773
Aaron Nesmith,2022-23,IND,Stationary Shooter,1816,SF,23,-1.89,-1.45,-0.43,0.6,3707012
Taurean Prince,2022-23,MIN,Movement Shooter,1192,SF,29,-1.9,-1.58,-0.32,0.4,2989631
DeAndre Jordan,2022-23,DEN,Roll + Cut Big,586,C,34,-1.9,-2.63,0.73,0.2,2340836
Cory Joseph,2022-23,DET,Primary Ball Handler,1227,PG,31,-1.9,-0.49,-1.41,0.4,3020489
Duane Washington Jr.,2022-23,PHO,Secondary Ball Handler,394,SG,23,-1.92,-0.24,-1.68,0.1,2120013
Chuma Okeke,2022-23,ORL,Movement Shooter,518,SF,24,-1.95,-1.46,-0.5,0.2,2217645
Romeo Langford,2022-23,SAS,Athletic Finisher,844,SG,23,-1.96,-1.51,-0.45,0.3,2519837
Thaddeus Young,2022-23,TOR,Roll + Cut Big,795,PF,34,-1.97,-1.5,-0.47,0.2,2460705
Jaden Hardy,2022-23,DAL,Secondary Ball Handler,708,SG,20,-2.0,-0.13,-1.86,0.2,2337289
Malik Beasley,2022-23,UTA,Off Screen Shooter,2093,SG,26,-2.0,-0.32,-1.68,0.6,3541101
Kevon Harris,2022-23,ORL,Athletic Finisher,457,SG,25,-2.04,-2.05,0.01,0.1,2076612
Cam Thomas,2022-23,BRK,Shot Creator,948,SG,21,-2.05,-0.34,-1.71,0.2,2442831
Noah Vonleh,2022-23,BOS,Athletic Finisher,172,C,27,-2.1,-2.26,0.16,0.0,1834123
Jericho Sims,2022-23,NYK,Roll + Cut Big,812,C,24,-2.14,-2.83,0.69,0.1,2194985
Terrence Ross,2022-23,ORL,Movement Shooter,1330,SG,32,-2.16,-0.19,-1.98,0.2,2437694
Johnny Davis,2022-23,WAS,Stationary Shooter,423,SG,21,-2.18,-1.66,-0.53,0.1,1929202
Kendrick Nunn,2022-23,LAL,Secondary Ball Handler,963,PG,27,-2.21,-0.89,-1.32,0.1,2155946
Derrick Rose,2022-23,NYK,Secondary Ball Handler,338,PG,34,-2.22,-1.1,-1.12,0.0,1860167
Frank Ntilikina,2022-23,DAL,Stationary Shooter,607,PG,24,-2.24,-1.87,-0.37,0.1,1950629
Ayo Dosunmu,2022-23,CHI,Stationary Shooter,2098,SG,23,-2.25,-2.53,0.29,0.2,2500359
AJ Green,2022-23,,Movement Shooter,345,SG,23,-2.26,-0.66,-1.6,0.0,1840468
Juan Toscano-Anderson,2022-23,LAL,Athletic Finisher,700,SF,30,-2.26,-2.44,0.18,0.1,1962236
Bryn Forbes,2022-23,MIN,Off Screen Shooter,268,SG,29,-2.27,-0.9,-1.37,0.0,1806837
McKinley Wright IV,2022-23,DAL,Slasher,335,PG,24,-2.27,-1.05,-1.23,0.0,1825511
Keon Johnson,2022-23,POR,Secondary Ball Handler,416,SG,21,-2.28,-1.04,-1.24,0.0,1848438
Shaedon Sharpe,2022-23,POR,Movement Shooter,1779,SG,19,-2.3,-0.81,-1.49,0.1,2186564
Lamar Stevens,2022-23,CLE,Athletic Finisher,1120,PF,25,-2.31,-1.88,-0.43,0.1,1998717
Payton Pritchard,2022-23,BOS,Movement Shooter,643,PG,25,-2.31,-0.97,-1.34,0.0,1877971
Thanasis Antetokounmpo,2022-23,MIL,Athletic Finisher,206,SF,30,-2.31,-1.98,-0.33,0.0,1767885
Maxi Kleber,2022-23,DAL,Stationary Shooter,930,C,31,-2.33,-2.4,0.07,0.1,1910548
Damian Jones,2022-23,UTA,Roll + Cut Big,477,C,27,-2.34,-2.51,0.17,0.0,1804570
Nassir Little,2022-23,POR,Stationary Shooter,976,SF,23,-2.35,-1.37,-0.98,0.1,1883353
Kevin Knox II,2022-23,,Stationary Shooter,952,SF,23,-2.37,-2.0,-0.37,0.0,1840143
P.J. Tucker,2022-23,PHI,Stretch Big,1920,PF,37,-2.4,-2.9,0.5,0.0,1851576
James Wiseman,2022-23,GSW,Post Scorer,867,C,22,-2.41,-2.01,-0.4,0.0,1758960
Seth Curry,2022-23,BRK,Secondary Ball Handler,1211,SG,32,-2.43,-1.18,-1.24,0.0,1730314
Isaiah Livers,2022-23,DET,Stationary Shooter,1199,PF,24,-2.44,-2.11,-0.32,0.0,1713499
Daishen Nix,2022-23,HOU,Secondary Ball Handler,914,PG,21,-2.45,-1.5,-0.95,0.0,1682489
Ish Smith,2022-23,DEN,Slasher,398,PG,34,-2.48,-2.24,-0.24,0.0,1685350
Andrew Nembhard,2022-23,IND,Primary Ball Handler,2074,SG,23,-2.49,-1.58,-0.91,-0.1,1465404
Juancho Hernangomez,2022-23,TOR,Stretch Big,614,PF,27,-2.5,-1.95,-0.55,0.0,1639501
Patty Mills,2022-23,BRK,Movement Shooter,567,PG,34,-2.5,-0.38,-2.12,0.0,1643042
Jabari Smith Jr.,2022-23,HOU,Stationary Shooter,2451,PF,19,-2.52,-1.82,-0.7,-0.1,1287197
Caleb Houstan,2022-23,ORL,Stationary Shooter,812,SF,20,-2.52,-1.49,-1.04,0.0,1573240
David Duke Jr.,2022-23,BRK,Slasher,228,SG,23,-2.54,-1.82,-0.72,0.0,1671647
Max Christie,2022-23,LAL,Stationary Shooter,512,SG,20,-2.54,-2.62,0.07,0.0,1605924
Danuel House Jr.,2022-23,PHI,Stationary Shooter,807,SF,29,-2.55,-1.41,-1.14,-0.1,1535568
R.J. Hampton,2022-23,DET,Stationary Shooter,750,PG,22,-2.55,-1.25,-1.3,-0.1,1543831
Jabari Walker,2022-23,POR,Athletic Finisher,619,SF,20,-2.57,-1.88,-0.7,-0.1,1546934
Georges Niang,2022-23,PHI,Movement Shooter,1512,PF,29,-2.59,-1.25,-1.34,-0.1,1255191
Corey Kispert,2022-23,WAS,Movement Shooter,2093,SF,24,-2.6,-0.86,-1.74,-0.2,1017771
Will Barton,2022-23,WAS,Secondary Ball Handler,993,SG,32,-2.61,-1.79,-0.82,-0.1,1372838
Christian Braun,2022-23,DEN,Stationary Shooter,1181,SG,21,-2.61,-2.14,-0.47,-0.1,1301840
Zeke Nnaji,2022-23,DEN,Stretch Big,728,PF,22,-2.63,-2.13,-0.5,-0.1,1441172
Bennedict Mathurin,2022-23,IND,Secondary Ball Handler,2222,SF,20,-2.64,-0.76,-1.87,-0.3,826657
Cam Reddish,2022-23,POR,Movement Shooter,990,SF,23,-2.73,-1.65,-1.09,-0.2,1128706
Davon Reed,2022-23,DEN,Stationary Shooter,343,SG,27,-2.75,-2.68,-0.07,-0.1,1505301
Furkan Korkmaz,2022-23,PHI,Secondary Ball Handler,353,SG,25,-2.76,-1.98,-0.78,-0.1,1489004
MarJon Beauchamp,2022-23,MIL,Stationary Shooter,700,SF,22,-2.79,-1.65,-1.14,-0.2,1229510
Vlatko Cancar,2022-23,DEN,Stretch Big,889,PF,26,-2.79,-1.98,-0.81,-0.2,1091139
Trent Forrest,2022-23,ATL,Slasher,277,PG,24,-2.82,-2.49,-0.33,-0.1,1507340
James Bouknight,2022-23,CHO,Secondary Ball Handler,515,SG,22,-2.82,-1.98,-0.84,-0.1,1323102
David Roddy,2022-23,MEM,Stationary Shooter,1258,PF,22,-2.85,-1.28,-1.57,-0.3,669454
Richaun Holmes,2022-23,SAC,Roll + Cut Big,348,C,29,-2.88,-3.06,0.18,-0.1,1411936
Josh Christopher,2022-23,HOU,Slasher,786,SG,21,-2.89,-1.39,-1.5,-0.2,1006274
Amir Coffey,2022-23,LAC,Slasher,625,SG,25,-2.97,-1.72,-1.24,-0.2,1059220
Patrick Williams,2022-23,CHI,Stationary Shooter,2323,PF,21,-3.0,-3.04,0.04,-0.8,-867902
Reggie Bullock,2022-23,DAL,Stationary Shooter,2364,SF,32,-3.01,-1.51,-1.5,-0.8,-975548
Bryce McGowens,2022-23,CHO,Movement Shooter,787,SG,20,-3.05,-2.43,-0.63,-0.3,756192
Jeff Green,2022-23,DEN,Stretch Big,1091,PF,36,-3.14,-1.82,-1.32,-0.5,203293
Ziaire Williams,2022-23,MEM,Stationary Shooter,561,SF,21,-3.15,-1.75,-1.4,-0.2,922035
Goran Dragic,2022-23,CHI,Secondary Ball Handler,870,PG,36,-3.18,-0.76,-2.42,-0.4,433073
Jordan Nwora,2022-23,MIL,Stationary Shooter,1188,SF,24,-3.23,-1.26,-1.97,-0.6,-149464
Lonnie Walker IV,2022-23,LAL,Secondary Ball Handler,1297,SG,24,-3.26,-1.71,-1.55,-0.7,-400147
Killian Hayes,2022-23,DET,Primary Ball Handler,2154,PG,21,-3.27,-1.96,-1.31,-1.1,-1845082
Austin Rivers,2022-23,MIN,Stationary Shooter,1016,SG,30,-3.27,-2.09,-1.18,-0.5,32909
Doug McDermott,2022-23,SAS,Movement Shooter,1314,SF,31,-3.37,-0.63,-2.74,-0.8,-709976
Malaki Branham,2022-23,SAS,Secondary Ball Handler,1550,SF,19,-3.44,-1.32,-2.12,-1.0,-1369879
Jake LaRavia,2022-23,MEM,Movement Shooter,414,PF,21,-3.69,-2.33,-1.36,-0.3,695647
Simone Fontecchio,2022-23,UTA,Off Screen Shooter,766,SF,27,-3.71,-1.39,-2.32,-0.6,-207529
Jaden Ivey,2022-23,DET,Primary Ball Handler,2304,SG,21,-3.72,-1.69,-2.03,-1.8,-4104127
JT Thor,2022-23,CHO,Athletic Finisher,969,PF,20,-3.72,-3.4,-0.32,-0.8,-733117
Justin Holiday,2022-23,ATL,Movement Shooter,706,SG,34,-3.72,-2.65,-1.07,-0.6,-68899
Robin Lopez,2022-23,CLE,Post Scorer,299,C,35,-4.17,-3.14,-1.03,-0.3,705374
Blake Wesley,2022-23,SAS,Slasher,669,SG,20,-5.08,-4.09,-0.99,-1.1,1719000
