Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,SPI,O-SPI,D-SPI,WAR,Value Added
Jay Scrubb,2022-23,ORL,Low Minute,30,SG,22,-0.29,-0.32,0.03,0.0,1849397
Isaiah Joe,2022-23,OKC,Movement Shooter,1395,SG,23,-0.29,0.48,-0.77,1.9,7754516
Drew Eubanks,2022-23,POR,Roll + Cut Big,1584,C,26,-0.29,-1.2,0.9,2.1,8565305
Frank Jackson,2022-23,UTA,Low Minute,5,PG,24,-0.29,-0.03,-0.26,0.0,1740824
Michael Carter-Williams,2022-23,ORL,Low Minute,44,PG,31,-0.3,-0.21,-0.09,0.1,1910725
Kyle Kuzma,2022-23,WAS,Secondary Ball Handler,2239,PF,27,-0.32,-0.47,0.15,3.0,11270227
Omer Yurtseven,2022-23,MIA,Low Minute,83,C,24,-0.33,-0.48,0.15,0.1,2073163
Deonte Burton,2022-23,SAC,Low Minute,6,SG,29,-0.33,-0.19,-0.14,0.0,1746555
Derrick Jones Jr.,2022-23,CHI,Stretch Big,893,SF,26,-0.34,-0.5,0.17,1.2,5506692
Cole Swider,2022-23,LAL,Low Minute,41,SF,23,-0.34,-0.24,-0.09,0.1,1893170
Trevelin Queen,2022-23,IND,Low Minute,70,SG,26,-0.35,-0.24,-0.11,0.1,2013929
Alex Len,2022-23,SAC,Roll + Cut Big,161,C,29,-0.35,-1.31,0.96,0.2,2397543
Jordan Schakel,2022-23,WAS,Low Minute,6,SF,24,-0.35,-0.12,-0.23,0.0,1745213
Blake Griffin,2022-23,BOS,Stretch Big,569,C,34,-0.38,-1.1,0.72,0.7,4075752
Carlik Jones,2022-23,CHI,Low Minute,56,PG,25,-0.39,-0.14,-0.25,0.1,1950293
Sterling Brown,2022-23,LAL,Low Minute,24,SG,28,-0.39,-0.32,-0.07,0.0,1819506
Jason Preston,2022-23,LAC,Secondary Ball Handler,124,PG,23,-0.39,-0.1,-0.29,0.2,2228839
Cameron Payne,2022-23,PHO,Primary Ball Handler,968,PG,28,-0.41,0.29,-0.7,1.2,5681459
Jaden McDaniels,2022-23,MIN,Stationary Shooter,2416,SF,22,-0.41,-1.63,1.22,3.1,11600959
Marko Simonovic,2022-23,CHI,Low Minute,20,C,23,-0.41,-0.12,-0.29,0.0,1799056
Josh Minott,2022-23,MIN,Low Minute,96,SF,20,-0.42,-0.25,-0.16,0.1,2110955
Donovan Williams,2022-23,ATL,Low Minute,4,SG,21,-0.42,-0.15,-0.27,0.0,1736288
Jalen Suggs,2022-23,ORL,Secondary Ball Handler,1246,PG,21,-0.42,-0.87,0.45,1.6,6777587
John Collins,2022-23,ATL,Versatile Big,2130,PF,25,-0.42,-0.74,0.31,2.7,10363167
Bogdan Bogdanovic,2022-23,ATL,Secondary Ball Handler,1509,SG,30,-0.43,1.37,-1.8,1.9,7834721
Greg Brown III,2022-23,POR,Low Minute,93,PF,21,-0.43,-0.81,0.38,0.1,2095533
Chima Moneke,2022-23,SAC,Low Minute,8,SF,27,-0.44,-0.22,-0.22,0.0,1750901
Jordan Hall,2022-23,SAS,Low Minute,83,SF,21,-0.44,-0.64,0.2,0.1,2050996
Devon Dotson,2022-23,WAS,Low Minute,53,PG,23,-0.45,-0.41,-0.04,0.1,1932226
Grayson Allen,2022-23,MIL,Movement Shooter,1972,SG,27,-0.45,-1.32,0.87,2.5,9609941
Jerami Grant,2022-23,POR,Shot Creator,2246,PF,29,-0.45,-0.18,-0.28,2.8,10697636
Malcolm Hill,2022-23,CHI,Low Minute,9,SF,27,-0.46,-0.11,-0.36,0.0,1755299
Scotty Pippen Jr.,2022-23,LAL,Low Minute,32,PG,22,-0.46,-0.37,-0.09,0.0,1844455
Tony Bradley,2022-23,CHI,Low Minute,33,C,25,-0.47,-0.21,-0.26,0.0,1851018
